PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2018,40,X,1.48324,X,X,X,X,X,X,698,104,47059
States,Florida,2018,40,X,0.951278,X,X,X,X,X,X,156,59,16399
States,Illinois,2018,40,X,0.791928,X,X,X,X,X,X,394,100,49752
States,Massachusetts,2018,40,X,1.00768,X,X,X,X,X,X,505,57,50115
States,New Jersey,2018,40,X,2.70526,X,X,X,X,X,X,885,41,32714
States,New York,2018,40,X,0.964964,X,X,X,X,X,X,623,131,64562
States,Texas,2018,40,X,2.57487,X,X,X,X,X,X,730,108,28351
States,Washington,2018,40,X,0.34384,X,X,X,X,X,X,24,29,6980
States,California,2018,41,X,1.27218,X,X,X,X,X,X,598,105,47006
States,Florida,2018,41,X,0.95269,X,X,X,X,X,X,147,58,15430
States,Illinois,2018,41,X,1.00549,X,X,X,X,X,X,493,103,49031
States,Massachusetts,2018,41,X,1.16488,X,X,X,X,X,X,583,58,50048
States,New Jersey,2018,41,X,2.60627,X,X,X,X,X,X,897,44,34417
States,New York,2018,41,X,0.98214,X,X,X,X,X,X,661,133,67302
States,Texas,2018,41,X,2.12283,X,X,X,X,X,X,589,107,27746
States,Washington,2018,41,X,0.507963,X,X,X,X,X,X,37,29,7284
States,California,2018,42,X,1.42798,X,X,X,X,X,X,691,103,48390
States,Florida,2018,42,X,0.889248,X,X,X,X,X,X,143,56,16081
States,Illinois,2018,42,X,1.0392,X,X,X,X,X,X,518,101,49846
States,Massachusetts,2018,42,X,1.27304,X,X,X,X,X,X,605,57,47524
States,New Jersey,2018,42,X,2.69214,X,X,X,X,X,X,889,44,33022
States,New York,2018,42,X,1.1082,X,X,X,X,X,X,706,134,63707
States,Texas,2018,42,X,2.20848,X,X,X,X,X,X,607,107,27485
States,Washington,2018,42,X,0.32548,X,X,X,X,X,X,21,28,6452
States,California,2018,43,X,1.62584,X,X,X,X,X,X,752,101,46253
States,Florida,2018,43,X,1.00077,X,X,X,X,X,X,169,58,16887
States,Illinois,2018,43,X,1.16002,X,X,X,X,X,X,579,101,49913
States,Massachusetts,2018,43,X,1.14343,X,X,X,X,X,X,550,58,48101
States,New Jersey,2018,43,X,2.98871,X,X,X,X,X,X,982,44,32857
States,New York,2018,43,X,1.13962,X,X,X,X,X,X,700,133,61424
